Core,Master Composite,Section Depth,TAXA,Achnanthes spp.,Actinocyclus actinochilus,Asteromphalus spp.,Azpeitia tabularis,Chaetoceros subg. Phaeoceros,Cocconeis spp. ,Corethron pennatum,Coscinodiscus spp.,Diploneis spp.,Entomoneis sp.,Eucampia antarctica var. recta terminal valve,Eucampia antarctica var. recta intercalary valve,Eucampia antarctica var. antarctica terminal valve ,Eucampia antarctica var. antarctica intercalary valve ,Eucampia sp. ,Eucampia antarctica vegetative stage,Fragilariopsis curta,Fragilariopsis cylindrus,Fragilariopsis kerguelensis,Fragilariopsis lineata,Fragilariopsis obliquecostata,Fragilariopsis peragallii,Fragilariopsis pseudonana,Fragilariopsis rhombica,Fragilariopsis ritscheri,Fragilariopsis separanda,Fragilariopsis sublinearis,Fragilariopsis vanheurckii,Fragilariopsis spp.,Navicula spp.,Nitzschia spp.,Odontella weissflogii,Paralia spp.,Pleurosigma sp.,Porosira glacialis,Porosira pseudodenticulata,Proboscia inermis ,Proboscia alata ,Proboscia spp.,Pseudo-nitzschia turgiduloides,Rhizosolenia antennata f. semispina,Rhizosolenia antennata f. antennata,Rhizosolenia spp.,Shionodiscus gracilis var. gracilis,Shionodiscus gracilis var. expectus,Shionodiscus oestrupii,Shionodiscus perpusillus,Shionodiscus ritscheri,Stellarima microtrias ,Synedra and Synedropsis spp.,Thalasionema nitzschioides,Thalassiosira antarctica T2,Thalassiosira antarctica T1,Thalassiosira gravida,Thalassiosira lentiginosa,Thalassiosira oliverana,Thalassiosira tumida,Thalassiosira spp.,Thalassiothrix antarctica and Trichotoxon reinboldii,Unidentified centrics,Unidentified pennates,Total %,All sea ice Fragilariopsis,All Rhizosolenia,All Proboscia,All T. antarctica,All S. gracilis,Absolute abundance (mvpgds),F. curta / F. kerguelensis,Cor + Rhizo + Prob + Phaeo
1 3,3.25,3.25,%,0.2,3.6,0.7,0.0,0.7,1.2,10.5,0.2,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.2,15.7,1.7,9.3,0.0,0.2,0.5,0.0,2.9,2.1,0.5,0.2,1.4,0.0,0.5,0.2,2.1,0.0,0.0,1.0,0.0,1.2,2.1,0.0,0.2,2.1,0.0,0.7,3.3,5.5,0.0,0.2,0.2,1.4,0.2,0.0,17.8,1.2,0.2,2.6,0.2,0.2,0.5,0.2,1.4,1.4,100,24.7,2.9,3.3,19.0,8.8,13.597,1.69,17.3
1 3,10,10,%,0.2,3.9,0.5,0.0,0.7,1.4,6.5,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.2,0.2,12.3,1.2,12.0,0.0,0.0,0.2,0.0,1.7,3.1,0.7,1.0,0.7,0.0,0.5,0.0,5.5,0.0,0.0,1.4,0.2,1.0,1.0,0.0,0.5,1.7,0.2,0.2,5.1,9.9,0.0,0.0,1.4,1.4,0.5,0.0,15.4,1.0,0.0,2.2,0.5,0.0,1.2,0.5,1.0,0.2,100,20.2,2.2,1.9,16.4,14.9,10.477,1.02,11.3
1 3,20,20,%,0.2,1.8,0.0,0.2,1.1,1.8,12.8,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.2,0.2,7.2,1.6,8.5,0.0,0.0,0.0,0.0,1.1,3.1,0.0,0.9,1.6,0.0,0.2,0.4,0.0,0.0,0.0,0.4,0.0,13.9,7.2,0.0,0.2,13.2,0.7,0.4,3.6,2.0,0.0,0.9,0.7,0.4,0.2,0.0,7.6,0.7,0.0,2.2,0.0,0.0,0.9,0.4,0.0,0.7,100,15.4,14.3,21.0,8.3,5.6,23.757,0.84,49.2
1 3,21.5,21.5,%,0.0,2.9,0.0,0.0,0.0,0.5,10.3,0.5,0.0,0.0,0.0,0.2,0.0,0.0,0.5,0.2,10.5,1.5,7.1,0.0,0.7,0.0,0.0,1.2,1.0,0.0,0.7,2.7,0.0,0.2,0.2,0.7,0.0,0.0,0.2,0.0,5.9,1.5,0.0,0.7,24.7,0.5,1.0,2.7,2.7,0.2,0.0,0.5,0.7,0.5,0.0,12.2,0.5,0.5,1.2,0.0,0.2,0.2,0.5,0.5,0.5,100,18.3,26.2,7.3,12.7,5.4,20.315,1.48,43.8
1 3,30.5,30.5,%,0.0,1.6,0.0,0.0,2.5,0.9,1.1,0.5,0.0,0.0,0.0,0.7,0.0,0.0,0.0,5.5,6.4,4.3,8.0,0.0,0.5,0.0,0.0,2.3,3.2,0.2,0.5,0.7,0.0,0.0,0.5,0.5,0.0,0.0,0.7,0.0,5.0,1.8,0.2,1.1,19.8,0.7,0.7,2.7,6.4,0.0,0.0,1.6,0.2,0.0,0.0,10.0,0.0,0.0,0.5,0.0,5.2,0.2,1.8,0.0,1.6,100,17.8,21.2,7.1,10.0,9.1,24.628,0.80,31.9
1 3,32,32,%,0.0,4.4,0.2,0.0,0.0,0.9,4.9,0.5,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,8.7,1.9,15.9,0.0,0.7,0.0,0.0,3.0,1.6,0.9,0.9,0.9,0.0,0.0,0.0,4.2,0.0,0.0,0.9,0.0,4.2,3.5,0.0,0.0,2.3,0.2,0.0,8.4,7.7,0.0,0.0,0.2,0.0,0.0,0.2,16.2,0.5,0.0,0.9,0.0,0.5,0.5,0.7,1.2,1.2,100,17.8,2.6,7.7,16.6,16.2,14.277,0.54,15.2
1 3,32,32,%,0.0,3.4,0.2,0.0,0.2,0.7,7.3,0.5,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,8.6,1.2,14.2,0.2,0.2,0.0,0.0,2.7,2.0,1.5,1.7,1.5,0.0,0.2,0.0,3.7,0.0,0.0,2.7,0.0,3.4,1.7,0.0,0.2,2.4,0.0,1.0,6.4,7.8,0.0,0.0,0.5,0.2,0.2,0.0,18.8,0.5,0.0,1.7,0.0,0.2,0.7,0.5,0.2,0.0,100,18.1,3.4,5.1,19.3,14.2,13.676,0.60,16.1
1 3,39.5,39.5,%,0.0,1.8,0.2,0.0,0.2,0.7,3.0,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,1.1,15.0,1.8,12.3,0.2,0.2,0.2,0.0,3.4,2.1,1.1,1.4,0.7,0.0,0.7,0.2,2.1,0.0,0.0,0.9,0.0,4.1,1.1,0.0,0.5,5.0,0.7,0.2,4.8,9.6,0.0,0.0,0.0,0.5,0.9,0.0,15.0,0.2,0.0,0.9,0.0,0.0,3.2,0.5,1.4,1.4,100,25.1,5.9,5.2,15.3,14.4,31.892,1.22,14.4
1 3,49.5,49.5,%,0.3,2.3,0.3,0.0,1.3,2.1,15.5,0.5,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.5,8.0,0.3,14.4,0.0,0.3,0.0,0.0,3.9,3.6,1.5,0.5,0.8,0.0,0.0,0.3,5.7,0.0,0.0,0.5,0.0,0.5,0.8,0.0,0.3,4.4,0.8,1.0,3.9,3.6,0.0,0.0,0.0,0.5,0.5,0.0,12.9,0.8,0.0,3.1,0.3,0.3,0.0,0.5,0.8,2.3,100,17.3,6.2,1.3,13.7,7.5,10.985,0.55,24.2
1 3,52,52,%,0.5,3.3,0.7,0.0,0.5,1.7,2.4,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0.5,8.4,1.7,9.3,0.2,0.0,0.2,0.0,1.9,1.4,1.0,0.5,1.2,0.0,1.0,0.2,2.1,0.2,0.0,1.2,0.0,2.6,0.7,0.0,0.0,3.6,0.0,2.1,6.4,0.0,0.0,0.0,1.7,1.0,0.5,0.0,16.0,0.0,0.0,2.4,0.5,0.2,18.6,0.7,0.5,1.0,100,15.5,5.7,3.3,16.0,6.4,10.766,0.90,11.9
1 3,60,60,%,0.0,2.4,0.5,0.0,0.0,1.5,6.1,0.5,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.5,8.3,2.4,8.6,0.2,0.0,0.0,0.0,2.4,2.4,0.5,1.7,1.0,0.0,0.7,0.2,1.5,0.0,0.0,2.2,0.0,4.9,1.2,0.0,0.0,4.4,0.2,0.0,5.9,11.7,0.0,0.0,2.0,1.0,0.5,0.2,14.4,0.0,0.0,3.2,0.7,0.5,2.4,0.5,0.2,1.7,100,18.6,4.6,6.1,14.4,17.6,12.515,0.97,16.9
1 3,69.25,69.25,%,0.5,4.2,0.2,0.0,0.0,1.7,4.7,0.7,0.0,0.0,0.0,0.7,0.0,0.0,0.2,0.0,9.4,1.5,9.2,0.0,0.5,0.0,0.0,0.7,1.7,0.0,1.2,0.7,0.0,0.0,0.0,3.2,0.0,0.0,1.0,0.0,10.7,4.7,0.0,0.2,4.5,0.2,2.7,6.0,5.5,0.0,0.0,1.0,0.5,0.5,0.0,15.4,0.0,0.0,2.7,0.0,0.5,0.2,0.2,0.7,1.2,100,15.9,7.4,15.4,15.4,11.4,13.213,1.03,27.5
1 3,79.75,79.75,%,0.0,2.0,0.6,0.4,0.0,1.6,2.0,0.2,0.0,0.0,0.0,0.4,0.0,0.2,0.8,0.4,12.7,1.8,12.9,0.4,0.2,0.0,0.0,1.8,2.0,0.0,1.0,1.4,0.0,0.2,0.0,3.5,0.0,0.0,1.2,0.0,3.5,2.7,0.0,0.8,10.4,1.0,1.8,4.9,3.5,0.0,0.0,0.6,0.6,0.6,0.0,16.6,0.2,0.0,2.2,0.0,0.0,1.0,0.0,0.6,0.8,100,21.5,13.3,6.1,16.8,8.4,12.95,0.98,21.5
1 3,83,83,%,0.0,1.7,0.2,0.0,0.5,0.2,1.7,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.7,1.5,17.7,1.5,16.5,0.0,0.0,0.0,0.0,3.9,2.2,1.0,1.0,3.4,0.5,0.5,0.7,5.1,0.0,0.0,1.2,0.0,2.2,0.5,0.0,0.5,1.7,0.2,0.2,3.9,5.1,0.0,0.0,0.0,0.7,0.7,0.0,15.3,0.5,0.0,1.7,0.7,0.5,1.2,0.2,1.9,0.5,100,30.0,2.2,2.7,15.7,9.0,14.454,1.07,7.0
1 3,90,90,%,0.0,2.2,0.0,0.0,2.7,0.5,2.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.5,0.2,12.7,0.5,16.8,0.0,0.2,0.0,0.0,2.7,1.0,1.2,1.0,2.4,0.0,0.5,0.2,3.2,0.0,0.0,0.5,0.0,7.6,1.7,0.0,0.5,5.6,0.5,1.0,3.2,6.6,0.0,0.0,1.2,0.7,0.5,0.0,14.9,0.0,0.0,1.7,0.0,0.5,1.0,0.2,0.2,1.0,100,20.5,7.1,9.3,14.9,9.8,16.172,0.75,21.0
1 3,100,100,%,0.0,2.4,0.0,0.0,1.1,1.1,2.9,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,16.2,4.0,11.5,0.0,0.4,0.2,0.0,0.4,2.9,0.0,2.0,2.0,0.0,0.4,0.0,2.4,0.0,0.0,0.9,0.4,3.5,0.0,0.0,3.3,12.2,0.7,2.0,2.7,2.7,0.0,0.0,0.0,0.0,0.2,0.0,15.9,0.0,0.0,1.3,0.2,0.2,2.4,0.4,0.2,0.0,100,28.1,14.8,3.5,15.9,5.3,22.595,1.40,22.3
1 3,110,110,%,0.0,0.2,0.2,0.0,0.2,0.5,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,32.6,2.5,21.1,0.0,1.0,0.0,0.0,3.7,4.4,0.2,1.2,0.2,1.0,0.2,0.2,1.7,0.0,0.0,0.5,0.0,1.0,0.2,0.0,1.5,1.7,0.2,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.2,0.0,9.8,0.0,2.5,0.2,0.0,0.0,0.5,0.2,0.0,0.5,100,46.6,2.0,1.2,9.8,2.0,30.900,1.55,9.8
